Age (Ma),CO2 (ppm),LOW CO2 ,HIGH CO2 ,ERROR(%),O2 (%),,Age (Ma),CO2 (ppm),LOW CO2 ,HIGH CO2 ,ERROR(%),O2 (%)
150,1084.489215,652.2354179,2031.788147,63.60380124,16.60832593,,150,1314.02147,773.4221437,2524.282364,66.62220747,16.26621346
140,1928.820007,1095.800885,3829.708718,70.86995737,12.88143816,,140,2332.884978,1295.579401,4750.603905,74.05046835,12.33703477
130,2870.808831,1547.817306,6050.907017,78.42893722,21.49354601,,130,3005.968103,1611.824444,6375.699631,79.24028173,21.79840105
120,1420.46595,831.2766678,2738.8909,67.14748187,24.9552589,,120,1324.12896,780.6240352,2526.712092,65.93345926,24.93260296
110,914.7692778,572.0010044,1627.944576,57.71638802,26.07803615,,110,1057.525096,648.8600867,1919.047895,60.05473599,25.78105658
100,350.5362893,245.8324449,538.6571787,41.76810542,25.65139624,,100,317.1565628,224.7496219,480.3442081,40.29470239,25.4228046
90,308.1288791,219.1864158,464.535444,39.81272852,24.78897512,,90,258.7076642,187.5740099,380.9091293,37.36555698,24.55341982
80,282.6928364,206.4846658,412.1051343,36.36817811,23.78471307,,80,333.2381742,239.0583602,497.3714605,38.75802958,23.48812416
70,262.3509651,194.8414882,374.5216011,34.24422564,23.57282356,,70,276.4696495,204.2737938,397.680673,34.97795861,23.29924712
60,302.9937301,225.0822609,432.9232428,34.29790145,22.44195744,,60,308.193149,228.5934809,441.3076214,34.50987494,22.14931826
50,217.5655493,168.9323141,294.3435135,28.82147468,21.97230911,,50,196.7069312,154.2501313,262.7168821,27.5706479,21.71117716
40,219.4818413,188.5491403,262.6424363,16.87914035,24.44315641,,40,228.7478512,195.804839,274.5233221,17.20638745,24.31068325
30,261.645216,221.5347366,318.3013319,18.49194814,24.81468549,,30,255.4098866,216.7694724,310.1893513,18.28822686,24.60076735
20,279.3902242,235.0794863,342.1162367,19.15542155,23.86885142,,20,267.3161961,225.7204097,326.0149523,18.75953347,23.66488825
10,266.1319817,224.8470359,324.0073091,18.62990545,22.07756752,,10,263.7235298,222.7966486,321.0873293,18.63517464,21.906186
0,240.9622803,235.6560241,246.9338337,2.340160802,20.52792109,,0,241.2503272,235.8362071,247.3754766,2.391555194,20.32892361
