Age,CO2,HIGH,LOW,O2,HIGH,LOW
120,1420.46594963257,1961.32682110362,1043.44310911652,24.9552588963516,24.7943587313297,25.0717855442593
110,914.769277830474,1235.97389200057,688.170217608254,26.0780361453302,25.9625603063267,26.145644374868
100,350.536289344989,455.588940238144,273.389048998473,25.6513962400789,25.5574147807041,25.7191248677924
90,308.128879073797,401.114872660191,240.013224094756,24.7889751206082,24.6980984316336,24.8699734642054
80,282.692836439361,363.900913754522,222.501315934595,23.7847130720646,23.6925485639268,23.8751261558661
70,262.350965105284,333.819891612896,208.713926442404,23.5728235604035,23.4720371358052,23.6757262403757
60,302.993730094233,382.793867135324,242.746390341804,22.4419574409458,22.3428179728678,22.5462173736494
50,217.565549327541,269.614070711651,177.601083581285,21.972309105745,21.8507384818326,22.1000783324159
40,219.481841291386,249.873988423007,193.932610652458,24.4431564092824,24.2042947266459,24.6892865141539
30,261.645215974307,297.608223964029,230.957756521162,24.8146854853252,24.620813600259,25.0106525003277
20,279.390224232321,316.762112009027,247.282556140476,23.868851418333,23.6813782546603,24.0616370866936
10,266.13198165215,299.925989501386,236.91591633237,22.0775675213451,21.8760588890458,22.2934566930669
0,240.962280316412,245.50001655296,236.502357866858,20.527921094109,20.2527963209085,20.7975785259566
