Age,CO2,HIGH,LOW,O2,HIGH,LOW
120,1420.39475281533,1961.20562331868,1043.4013891333,24.9597701139508,24.7990880327015,25.0760725382218
110,914.759454027885,1235.9475321777,688.168330533555,26.082790621689,25.9676399444753,26.1500712264759
100,350.537317741202,455.587258060113,273.391269628681,25.6556892207345,25.5620859658116,25.7230380424657
90,308.125146051168,401.108242855135,240.011100435067,24.7922820325361,24.7018013534511,24.8728882949827
80,282.6889742694,363.894653724681,222.498830290796,23.7873408572763,23.6955652794686,23.877371833461
70,262.350132067337,333.817809609712,208.713695873702,23.57482520121,23.4744080212036,23.6773663470915
60,302.996377878217,382.796214439255,242.748882329361,22.4439015731118,22.3451451106435,22.5477845985083
50,217.563731993992,269.610945312909,177.599986573914,21.973993619275,21.8527740572422,22.101413657868
40,219.479290570799,249.87101596187,193.93014200189,24.4441675250193,24.2056527384621,24.6899602327706
30,261.643559240573,297.606077142979,230.956336415959,24.8155696454578,24.6220454735915,25.0111940326778
20,279.393339739843,316.765242065485,247.285453472548,23.8695225364722,23.6823737497786,24.0619874071134
10,266.141812378914,299.936331308578,236.925093540807,22.0782649569985,21.877061334548,22.2938499490824
0,240.971270641622,245.511188872054,236.509707748641,20.5289255913085,20.2540830608257,20.7983034539917
