age,Sr,eSr,d13C,ed13C,d34S,ed34S,fR,efR,fL,efL,fA,efA,fA_Godderis,efA_Godderis,fAw_fA,efAw_fA,fAw_fA_Godderis,efAw_fA_Godderis,fD,efD,fD_Godderis,efD_Godderis,RT,eRT,GEOG,eGEOG,GEOG_Godderis,eGEOG_Godderis,fSR,eFSR,fC,efC
370,82,1.809533172,1,0.2701008,20.3,0.936205985,0.8734,0.069872,1.47,0.588,0.69,0.345,0.69,0.345,1,0.2,1,0.2,1.21,0.605,1.21,0.605,0.022104821,0.011052411,0.9,5,0.9,5,1.4,0.245,0.75,0.16875
360,82,2.084706146,1.4,0.5345928,19.5,0.936205985,0.8571,0.068568,1.4,0.56,0.7,0.35,0.7,0.35,1,0.2,1,0.2,1.21,0.605,1.21,0.605,0.020536175,0.010268088,0.7,5,0.7,5,1.43,0.25025,0.75,0.16875
350,78,3.720777374,2.8,0.5661432,17,1.018233765,0.8407,0.067256,1.41,0.564,0.73,0.365,0.73,0.365,1,0.2,1,0.2,1.21,0.605,1.21,0.605,0.01896753,0.009483765,0.6,5,0.6,5,1.43,0.25025,0.75,0.16875
340,75,3.358826861,2.9,0.5284152,15.8,1.15562393,0.824,0.06592,1.41,0.564,0.76,0.38,0.76,0.38,1,0.2,1,0.2,1.21,0.605,1.21,0.605,0.019256534,0.009628267,0.5,5,0.5,5,1.28,0.224,0.75,0.16875
330,78,3.841308571,2.5,0.5450544,14.7,0.290516781,0.8074,0.064592,1.41,0.564,0.77,0.385,0.77,0.385,1,0.2,1,0.2,1.19,0.595,1.19,0.595,0.020084856,0.010042428,0.6,5,0.6,5,1.07,0.18725,0.75,0.16875
320,81,2.290606795,3.2,0.6235092,14.9,0.351782761,0.7907,0.063256,1.41,0.564,0.79,0.395,0.79,0.395,1,0.2,1,0.2,1.15,0.575,1.15,0.575,0.020513215,0.010256608,0.6,5,0.6,5,1.07,0.18725,0.75,0.16875
310,82,1.514888768,4,0.5211324,14.2,0.377157287,0.7743,0.061944,1.45,0.58,0.8,0.4,0.8,0.4,1,0.2,1,0.2,1.14,0.57,1.14,0.57,0.019341722,0.009670861,0.7,5,0.7,5,1.14,0.1995,0.75,0.16875
300,82,3.205492335,4.4,0.3710052,13.7,0.239332405,0.758,0.06064,1.45,0.58,0.8,0.4,0.8,0.4,1,0.2,1,0.2,1.13,0.565,1.13,0.565,0.023074333,0.011537167,0.9,5,0.9,5,1.21,0.21175,0.75,0.16875
290,83,4.510047173,4.7,0.5970492,12.8,0.936205985,0.7422,0.059376,1.45,0.58,0.8,0.4,0.8,0.4,1,0.2,1,0.2,1.1,0.55,1.1,0.55,0.026806944,0.013403472,1.1,5,1.1,5,1.21,0.21175,0.75,0.16875
280,82,3.739161121,4.4,0.4866516,13,0.435553288,0.7269,0.058152,1.31,0.524,0.81,0.405,0.81,0.405,1,0.2,1,0.2,1.08,0.54,1.08,0.54,0.033520816,0.016760408,1.3,5,1.3,5,1.07,0.18725,0.75,0.16875
