age,Sr,eSr,d13C,ed13C,d34S,ed34S,fR,efR,fL,efL,fA,efA,fA_Godderis,efA_Godderis,fAw_fA,efAw_fA,fAw_fA_Godderis,efAw_fA_Godderis,fD,efD,fD_Godderis,efD_Godderis,RT,eRT,GEOG,eGEOG,GEOG_Godderis,eGEOG_Godderis,fSR,eFSR,fC,efC
430,81,0.483948323,1,0.443355,27.6,2.180063892,0.9603,0.1200375,1.43,0.17875,0.62,0.0775,0.773,0.096625,1,0.125,0.8455,0.1056875,1.31,0.16375,1.076106731,0.134513341,0.022982706,0.002872838,0.1,1.25,-0.465,1.25,1.55,0.19375,0.75,0.09375
420,86,0.567745553,1.5,0.5693275,26.5,1.615711549,0.9475,0.09475,1.54,0.1925,0.74,0.0925,0.791,0.098875,1,0.125,0.837933333,0.104741667,1.28,0.16,1.083282798,0.13541035,0.022486505,0.002810813,-1.9,1.25,-0.904,1.25,1.53,0.19125,0.75,0.084375
410,87,0.839622719,2,0.3769,23.6,1.12398102,0.9339,0.1167375,1.63,0.20375,0.74,0.0925,0.809,0.101125,1,0.125,0.830366667,0.103795833,1.25,0.15625,1.090458864,0.136307358,0.022410168,0.002801271,-0.9,1.25,-1.343,1.25,1.48,0.1665,0.75,0.065625
400,85,0.477489492,0.5,0.280662,21.7,1.084262422,0.9196,0.11495,1.63,0.20375,0.74,0.0925,0.827,0.103375,1,0.125,0.8228,0.10285,1.23,0.15375,1.09763493,0.137204366,0.022333831,0.002791729,0.1,1.25,-1.782,1.25,1.38,0.1725,0.75,0.09375
390,80,0.261748148,1.5,0.3383775,21.2,1.950213664,0.9047,0.1130875,1.47,0.18375,0.72,0.09,0.787,0.098375,1,0.125,0.8257,0.1032125,1.22,0.1525,1.123913483,0.140489185,0.022257495,0.002782187,1.1,1.25,-0.577333333,1.25,1.36,0.17,0.75,0.09375
380,78,0.386309528,1,0.394134,21.2,0.99962493,0.8892,0.11115,1.47,0.18375,0.69,0.08625,0.747,0.093375,1,0.125,0.8286,0.103575,1.21,0.15125,1.150192036,0.143774004,0.022181158,0.002772645,1,1.25,0.627333333,1.25,1.38,0.1725,0.75,0.09375
370,82,0.452383293,1,0.18757,20.3,1.170257481,0.8734,0.109175,1.47,0.18375,0.69,0.08625,0.707,0.088375,1,0.125,0.8315,0.1039375,1.21,0.15125,1.176470588,0.147058824,0.022104821,0.002763103,0.9,1.25,1.832,1.25,1.4,0.175,0.75,0.09375
360,82,0.521176537,1.4,0.296996,19.5,1.170257481,0.8571,0.1071375,1.4,0.175,0.7,0.0875,0.736,0.092,1,0.125,0.8391,0.1048875,1.21,0.15125,1.170002021,0.146250253,0.020536175,0.002567022,0.7,1.25,1.229666667,1.25,1.43,0.17875,0.75,0.09375
350,78,0.930194343,2.8,0.235893,17,1.272792206,0.8407,0.08407,1.41,0.17625,0.73,0.05475,0.766,0.05745,1,0.125,0.8467,0.1058375,1.21,0.09075,1.163533455,0.087265009,0.01896753,0.002370941,0.6,0.625,0.627333333,0.625,1.43,0.0715,0.75,0.046875
340,75,0.839706715,2.9,0.660519,15.8,1.300076921,0.824,0.103,1.41,0.17625,0.76,0.095,0.796,0.0995,1,0.125,0.8543,0.1067875,1.21,0.15125,1.157064888,0.144633111,0.019256534,0.002407067,0.5,1,0.025,1,1.28,0.112,0.75,0.075
330,78,0.960327143,2.5,0.605616,14.7,0.363145976,0.8074,0.100925,1.41,0.17625,0.77,0.09625,0.8,0.1,1,0.125,0.85715,0.10714375,1.19,0.14875,1.152440873,0.144055109,0.020084856,0.002510607,0.6,1.25,0.2245,1.25,1.07,0.107,0.75,0.09375
320,81,0.572651699,3.2,0.346394,14.9,0.439728452,0.7907,0.07907,1.41,0.17625,0.79,0.09875,0.803,0.100375,1,0.125,0.86,0.1075,1.15,0.14375,1.147816859,0.143477107,0.020513215,0.002564152,0.6,1.125,0.424,1.125,1.07,0.13375,0.75,0.084375
310,82,0.378722192,4,0.2171385,14.2,0.471446609,0.7743,0.07743,1.45,0.18125,0.8,0.1,0.807,0.100875,1,0.125,0.86285,0.10785625,1.14,0.1425,1.143192844,0.142899106,0.019341722,0.002417715,0.7,1.25,0.6235,1.25,1.14,0.114,0.75,0.046875
300,82,0.801373084,4.4,0.309171,13.7,0.299165506,0.758,0.09475,1.45,0.18125,0.8,0.1,0.81,0.10125,1,0.125,0.8657,0.1082125,1.13,0.14125,1.13856883,0.142321104,0.023074333,0.002884292,0.9,1.25,0.823,1.25,1.21,0.136125,0.75,0.05625
290,83,1.127511793,4.7,0.331694,12.8,0.702154489,0.7422,0.092775,1.45,0.18125,0.8,0.1,0.848,0.106,1,0.125,0.7896,0.0987,1.1,0.1375,0.987265009,0.123408126,0.026806944,0.003350868,1.1,1.25,1.1065,1.25,1.21,0.15125,0.75,0.05625
280,82,0.93479028,4.4,0.6083145,13,0.54444161,0.7269,0.0908625,1.31,0.16375,0.81,0.10125,0.886,0.11075,1,0.125,0.7135,0.0891875,1.08,0.135,0.835961189,0.104495149,0.033520816,0.004190102,1.3,1.25,1.39,1.25,1.07,0.13375,0.75,0.09375
270,77,0.640636152,4.7,0.73408,14.4,1.255849646,0.7122,0.089025,1.31,0.16375,0.81,0.10125,0.918,0.11475,1,0.125,0.71275,0.08909375,1.02,0.1275,0.788963008,0.098620376,0.040234688,0.005029336,1.5,1.25,0.7155,1.25,1.1,0.12375,0.75,0.09375
260,71,1.11633787,4,0.46974,16.2,1.170257481,0.6983,0.0872875,1.31,0.16375,0.84,0.105,0.949,0.118625,1,0.125,0.712,0.089,0.97,0.12125,0.741964827,0.092745603,0.041422301,0.005177788,1.8,1.25,0.041,1.25,1.14,0.1425,0.75,0.09375
250,73,2.027977,1,0.67996,19.2,2.371384968,0.6853,0.0856625,1.43,0.17875,0.86,0.1075,0.967,0.120875,1,0.125,0.6966,0.087075,0.96,0.12,0.644329897,0.080541237,0.042609915,0.005326239,1.9,1.25,-0.710333333,1.25,1.11,0.13875,0.75,0.09375
240,75,0.65574991,2,0.341955,20.4,2.34803109,0.6733,0.0841625,1.36,0.17,0.89,0.11125,0.971,0.121375,1,0.125,0.68528,0.08566,0.94,0.1175,0.577926016,0.072240752,0.043797529,0.005474691,1.7,1.25,-0.5714,1.25,1.09,0.13625,0.75,0.09375
230,78,0.410386922,2.5,0.480942,20.5,0.485626743,0.6625,0.0828125,1.39,0.17375,0.88,0.11,0.972,0.1215,1,0.125,0.67804,0.084755,0.96,0.12,0.542753184,0.067844148,0.044985143,0.005623143,1.7,1.25,0.4578,1.25,1.1,0.1375,0.75,0.09375
220,78,0.246434839,3.5,0.27295,19.3,0.332916406,0.6531,0.0816375,1.23,0.15375,0.9,0.1125,0.971,0.121375,1,0.125,0.6708,0.08385,0.98,0.1225,0.507580352,0.063447544,0.047101981,0.005887748,1.7,1.25,1.487,1.25,1.12,0.14,0.75,0.09375
210,78,0.765014286,2.5,0.532743021,18.1,0.399374511,0.6451,0.0806375,1.23,0.15375,0.9,0.1125,0.968,0.121,1,0.125,0.68915,0.08614375,1.01,0.12625,0.669193451,0.083649181,0.049218819,0.006152352,1.8,1.25,2.3375,1.25,1.14,0.1425,0.75,0.09375
200,75,0.526033721,2,0.26098,17.9,1.651577529,0.6388,0.07985,1.36,0.17,0.91,0.11375,0.965,0.120625,1,0.125,0.7075,0.0884375,1.02,0.1275,0.830806549,0.103850819,0.051335658,0.006416957,1.8,1.25,3.188,1.25,1.1,0.1375,0.75,0.09375
190,76,0.60267226,1.06,0.103743,17.8,0.419324854,0.6342,0.079275,1.36,0.17,0.91,0.11375,0.937,0.117125,1,0.125,0.717,0.089625,1.03,0.12875,0.830806549,0.103850819,0.05262826,0.006578533,1.6,1.25,3.9155,1.25,1.09,0.13625,0.75,0.09375
