Age,Type,CO2
15.59955383,d11B,441.6500466
15.61,paleosols,472.9986542
15.61277048,d11B,468.5590958
15.62598631,d11B,329.8420666
15.65242295,d11B,293.9640651
15.69211909,d11B,287.2356342
15.7,stomata,449
15.7,stomata,552
15.7,stomata,555
15.7186335,d11B,505.2843817
15.74880314,alkenones,385.548035
15.75852102,d11B,290.8204619
15.77185607,d11B,315.2166924
15.79,stomata,564
15.80664084,d11B,519.6177457
15.83892175,d11B,435.3515436
15.84,alkenones,401.7988791
15.86597145,d11B,392.4676216
15.89317604,d11B,281.0245308
15.953664,d11B,291.3219289
15.96198872,d11B,318.0589156
15.97590791,d11B,594.5002564
15.98,paleosols,333.2807277
15.98988508,d11B,322.4564953
16.0607295,d11B,292.6100992
16.06653595,alkenones,445.0884844
16.11073875,alkenones,496.6341767
16.11871172,d11B,405.7032629
16.13,paleosols,288.6996492
16.13228989,alkenones,402.8854082
16.14819734,d11B,308.7693572
16.17804204,d11B,270.8173116
16.20826837,d11B,236.0869335
16.23889926,d11B,476.5213374
16.26995802,d11B,277.5237333
16.30146837,d11B,466.8453888
16.3165493,alkenones,421.8558982
16.33345439,d11B,262.1828478
16.36594057,d11B,502.2161733
16.38237896,d11B,224.7525765
16.39895175,d11B,430.2111449
16.4156621,d11B,221.4793315
16.42783928,alkenones,420.2716419
16.46665055,d11B,531.6615099
16.48,stomata,393.28
16.5,stomata,535
16.59104566,d11B,270.8500999
16.6469001,d11B,241.5030917
16.65456963,alkenones,330.1843436
16.68505286,d11B,235.9491082
16.76368561,d11B,338.0690055
16.8,stomata,424.67
16.82,alkenones,400.6263895
16.84399986,alkenones,314.196061
16.95,stomata,393.282
16.97521086,d11B,206.5411128
17.01454926,alkenones,266.227471
17.11358772,d11B,252.1469323
17.37612724,alkenones,267.1993651
17.4,stomata,402
17.48400497,alkenones,300.2700546
17.5,paleosols,260.595223
17.58,stomata,340.969
17.6,stomata,374.009
17.6,stomata,388.326
17.79629707,alkenones,309.9815447
17.8,paleosols,237
17.90145111,alkenones,329.1610247
18,paleosols,160
18.2,paleosols,274
18.26,alkenones,411.8608583
18.4350071,alkenones,578.9028404
18.5173111,alkenones,343.9232093
18.59391212,alkenones,312.6934625
18.67866516,alkenones,312.5875293
19,stomata,396.586
19,stomata,458.811
19,stomata,501.8
19.22633171,alkenones,382.520284
19.29651833,alkenones,479.1922739
19.81587982,alkenones,364.2032611
19.93353271,alkenones,461.095467
20,stomata,332.16
20.3,alkenones,357.8305553
20.87578011,alkenones,390.5213362
21,paleosols,312
21.28060532,alkenones,374.4838045
21.32648277,alkenones,418.6170371
