Age,Type,CO2
12.639,phytoplankton,229.57
12.691,phytoplankton,224.44
12.777,phytoplankton,231.85
12.811,phytoplankton,138.44
12.85,phytoplankton,220.84
12.927,phytoplankton,210.79
12.983,phytoplankton,124.77
13.099,phytoplankton,235.28
13.1007,phytoplankton,336.24
13.274,phytoplankton,222.38
13.326,phytoplankton,179.33
13.393,phytoplankton,230.45
13.443,phytoplankton,203.26
13.494,phytoplankton,240.84
13.592,phytoplankton,249.85
13.602,phytoplankton,127.97
13.644,phytoplankton,142.55
13.651,phytoplankton,143.55
13.658,phytoplankton,143.07
13.665,phytoplankton,143.16
13.672,phytoplankton,136.85
13.679,phytoplankton,129.38
13.693,phytoplankton,139.27
13.704,phytoplankton,129.5
13.709,phytoplankton,134.03
13.716,phytoplankton,139.39
13.741,phytoplankton,141.33
13.753,phytoplankton,143.91
13.76,phytoplankton,139.09
13.766,phytoplankton,152.01
13.767,phytoplankton,250.35
13.773,phytoplankton,147.14
13.77714,phytoplankton,269.14
13.779,phytoplankton,143.01
13.785,phytoplankton,262.99
13.786,phytoplankton,137.02
13.792,phytoplankton,142.38
13.799,phytoplankton,145.47
13.843,phytoplankton,223.7
13.855,phytoplankton,273.98
14.35844,phytoplankton,558.17
14.465,phytoplankton,254.48
14.557,phytoplankton,157.37
14.598,phytoplankton,137.29
14.645,phytoplankton,335.49
14.692,phytoplankton,274.15
14.74,phytoplankton,430.52
14.779,phytoplankton,355.23
15.03,phytoplankton,343.14
15.749,phytoplankton,299.92
15.75616,phytoplankton,655.15
15.84,phytoplankton,394.41
16.066,phytoplankton,339.88
16.111,phytoplankton,369.82
16.132,phytoplankton,313.25
16.316,phytoplankton,329.94
16.428,phytoplankton,317.18
16.655,phytoplankton,267.98
16.82,phytoplankton,383.66
16.844,phytoplankton,165.8
17.014,phytoplankton,144.76
17.376,phytoplankton,136.94
17.484,phytoplankton,159.28
17.796,phytoplankton,163.09
17.902,phytoplankton,269.41
18.26,phytoplankton,409.36
18.435,phytoplankton,426.51
18.517,phytoplankton,276.99
18.594,phytoplankton,251.96
18.679,phytoplankton,252.77
18.774,phytoplankton,520.6
19.146,phytoplankton,301.89
19.226,phytoplankton,309.01
19.296,phytoplankton,372.49
19.816,phytoplankton,288.02
19.934,phytoplankton,340.32
20.3,phytoplankton,307.54
20.876,phytoplankton,311.61
21.281,phytoplankton,296.38
21.326,phytoplankton,324
21.468,phytoplankton,270.58
21.755,phytoplankton,317.48
22.94,phytoplankton,482.58
23.084,phytoplankton,409.29
23.48,phytoplankton,406.16
23.568,phytoplankton,293.49
24.40439,phytoplankton,364.26
24.71744,phytoplankton,513.54
24.74532,phytoplankton,693.53
25.19612,phytoplankton,341.59
25.28643,phytoplankton,392.61
25.3,phytoplankton,483.19
25.87778,phytoplankton,463.04
