Age,Type,CO2
1.26862,phytoplankton,266.71
1.272,phytoplankton,193.59
1.2761,paleosols,233.82
1.27678,paleosols,213.33
1.27813,paleosols,214.34
1.28143,paleosols,199.78
1.28278,paleosols,221.26
1.2846,phytoplankton,187.44
1.3,phytoplankton,204.2
1.31779,phytoplankton,270.46
1.3293,paleosols,196.03
1.33059,paleosols,268.74
1.33446,paleosols,201.32
1.33575,paleosols,249.13
1.33703,paleosols,169.24
1.3512,phytoplankton,228.57
1.35157,d11B,284.95
1.38031,d11B,219.88
1.384,d11B,213.78
1.38635,paleosols,214.23
1.38943,paleosols,196.94
1.39267,d11B,282.13
1.39635,paleosols,190.64
1.39733,d11B,271.13
1.39866,paleosols,234.71
1.402,d11B,320.14
1.408,d11B,326.76
1.414,d11B,260.39
1.42,d11B,200.67
1.42064,paleosols,261.45
1.4239,paleosols,240.54
1.42517,d11B,234.17
1.42626,d11B,215.01
1.42716,paleosols,216.46
1.43033,d11B,225.69
1.43368,paleosols,252.88
1.4355,d11B,241.79
1.44067,d11B,284.8
1.44583,d11B,286.57
1.45103,d11B,256.37
1.45552,d11B,237.01
1.45938,d11B,260.6
1.46452,d11B,248.79
1.47351,d11B,278.44
1.47801,d11B,271.81
1.4825,d11B,226.46
1.487,d11B,258.06
1.49,d11B,292.14
1.493,d11B,214.47
1.49643,d11B,200.9
1.499,d11B,223.7
1.499,d11B,224.72
1.5,phytoplankton,226.28
1.50233,d11B,182.85
1.50567,d11B,249
1.509,d11B,276.55
1.51233,d11B,223.16
1.51567,d11B,298.81
1.516,paleosols,190.96
1.519,d11B,277.84
1.5192,paleosols,214.55
1.5208,paleosols,185.79
1.52233,d11B,283.56
1.52567,d11B,305.85
1.529,d11B,255.74
1.53,d11B,189.11
1.53567,d11B,295.46
1.539,d11B,225.38
1.5413,d11B,227.43
1.5423,d11B,278.44
1.56,phytoplankton,300.27
1.5741,d11B,276.01
1.5774,d11B,215.13
1.6,phytoplankton,301.46
1.60617,paleosols,200.67
1.616,d11B,300.5
1.64703,paleosols,201.12
1.6487,d11B,198.01
1.65026,paleosols,209.81
1.65058,paleosols,200.36
1.65184,phytoplankton,189.37
1.65528,phytoplankton,252.5
1.6595,d11B,192.27
1.6985,d11B,289.93
1.71615,paleosols,183.83
1.71861,paleosols,220.2
1.72,phytoplankton,293.27
1.72107,paleosols,210
1.72352,paleosols,176.71
1.72598,paleosols,163.22
1.73468,phytoplankton,199.28
1.74925,phytoplankton,255.61
1.75,phytoplankton,209.59
1.7531,d11B,286.35
1.7796,d11B,224.38
1.80035,phytoplankton,252.16
1.8091,paleosols,255.57
1.82415,paleosols,225.76
1.82791,paleosols,251.48
1.83,phytoplankton,300.13
1.85414,phytoplankton,287.61
1.88,d11B,177.29
1.90793,phytoplankton,299.39
1.92958,paleosols,228.81
1.9354,paleosols,254.34
1.94705,paleosols,252.46
1.95578,paleosols,261.6
1.95914,phytoplankton,198.5
1.96161,paleosols,274.65
1.97,phytoplankton,312.1
1.97513,d11B,202.18
1.99269,phytoplankton,302.23
2,phytoplankton,280.55
2.01929,d11B,364.61
2.01929,d11B,347.53
2.02654,d11B,234.18
2.0435,paleosols,147.27
2.04986,paleosols,184.94
2.05198,paleosols,216.75
2.07,phytoplankton,312.47
2.07809,d11B,208.19
2.09482,phytoplankton,235.1
2.10356,paleosols,188.11
2.11,phytoplankton,186.1
2.11444,paleosols,199.22
2.13078,paleosols,282.48
2.16101,d11B,194.72
2.16604,d11B,299.14
2.19823,phytoplankton,235.16
2.20194,d11B,307.6
2.21,phytoplankton,307.67
