Age (Ma),pCO2 probability maximum,lw95%,up95%
151.5,799.6,386.41,1442.11
152,812.24,393.19,1458.75
152.5,809.92,358.72,1506.7
153,815.46,327.25,1553.08
153.5,827.93,297.85,1618.23
154,813.72,294.23,1622.33
154.5,807.17,277.83,1657.82
155,794.32,250.69,1673.13
155.5,756.06,192.32,1706.9
156,722.07,156.01,1720.85
156.5,897.28,141.7,1738.05
157,858.14,149.05,1751.24
157.5,835.77,157.08,1745.76
158,822.84,165.15,1722.43
158.5,814.67,201.16,1674.66
159,797.35,223.29,1615.62
159.5,796.5,230.65,1577.01
160,795.33,257.92,1536.16
160.5,782.89,280.14,1526.31
161,785.35,327.06,1484.46
161.5,793.06,355.2,1451.69
162,775.16,407.97,1421.61
162.5,785.09,445.94,1379.77
163,771.41,484.03,1347.41
163.5,881.36,519.58,1361.4
164,855.45,529.68,1384.46
164.5,861.99,555.04,1392.36
165,871.25,579.04,1389.35
165.5,877.2,614.58,1388.32
166,895.9,658.85,1375.63
166.5,929.99,692.5,1355.02
167,974.75,709.88,1341.55
167.5,1004.32,717.87,1344.47
168,1011.74,735.25,1337.68
168.5,1029.62,748.08,1323.74
169,1045.27,759.74,1329.48
169.5,1041.41,761.08,1323.07
170,1037.52,736.21,1350.18
170.5,1029.03,739.56,1384.06
171,1071.4,734.43,1413.76
171.5,1064.67,720.61,1451.62
172,1048.07,696.83,1508.77
172.5,1043.98,650.99,1569.38
173,1040.97,615.01,1637.33
173.5,1027.7,582.27,1718.12
174,1022.63,569.6,1783.87
174.5,1018.11,550.83,1826.13
175,1015.82,545.45,1848.39
175.5,1012.49,530.82,1844.1
176,1020.94,518.84,1833.68
176.5,1015.73,506.27,1856.58
177,1008.42,498.32,1892.12
177.5,999.39,501.16,1865.44
178,998.07,512.85,1849.54
178.5,983.26,530.1,1802.39
179,971.06,542.21,1749.05
179.5,941.81,529.93,1713.55
180,909.5,542.59,1748
180.5,908.94,538.52,1699.73
181,912.62,547.16,1639.33
181.5,926.38,553.23,1591.2
182,920.92,548.02,1534.79
182.5,921.06,558.48,1479.22
183,895.84,550.33,1448.96
183.5,896.31,548.66,1478.03
184,923.15,568.28,1470.77
184.5,859.47,593.27,1499.77
185,956.9,607.54,1540.25
185.5,965.18,578.77,1579.13
186,945.03,567.27,1664.52
186.5,950.25,542.96,1793.6
187,947.85,530.43,1884.93
187.5,952.48,534.89,1987.17
188,972.15,551.79,2117.42
188.5,985.24,576.1,2225.47
189,1005.13,555.42,2356.76
189.5,1074.93,561.75,2513.56
190,1111.68,577.3,2628.38
190.5,1156.62,624.87,2759.35
191,1196.72,666.94,2812.96
191.5,1246.89,720.13,2861.19
192,1345.54,757.63,2918.25
192.5,1436.28,781.15,2992.39
193,1466.45,810.43,3045.34
193.5,1449.82,833.9,3073.04
194,1740.76,882.85,3071.17
194.5,1769.77,926.93,3022.15
195,1796.57,990.88,2914.2
195.5,1800.11,1050.78,2849.58
196,1783.74,1068.4,2767.18
196.5,1772.47,1104.17,2734.43
197,1768.36,1110.68,2727.55
197.5,1770.42,1129.13,2672.27
198,1767.68,1158.82,2582.55
198.5,1768.01,1190.27,2499.02
199,1725.17,1161.61,2442.67
199.5,1731.48,1150.13,2430.05
200,1732.56,1151.22,2401.15
200.5,1730.6,1139.72,2393.52
201,1723.92,1148.13,2356.15
201.5,1732.22,1137.75,2291.21
202,1689.51,1146.14,2240.98
202.5,1550.94,1120.93,2220.93
203,1521.18,1096.07,2172.94
203.5,1602.61,1076.42,2140.69
204,1583.01,1063.52,2088.8
204.5,1545.19,1023.82,2053.81
205,1492.68,988.24,1993.55
205.5,1461.27,953.66,1952.53
206,1543.67,919.86,1921.07
206.5,1540.96,901.12,1898.23
207,1505.03,878.94,1878.99
207.5,1437.95,871.7,1854.54
208,1368.3,849.24,1834.18
208.5,1348.82,832.23,1818.11
209,1277.87,797.27,1820.72
209.5,1240.43,784.18,1802.67
210,1206.6,785.5,1792.16
210.5,1197.14,783.03,1765.11
211,1178.39,789.11,1725.55
211.5,1170.68,778.83,1722
212,1172.91,776.07,1722.13
212.5,1223.65,782.28,1729.93
213,1231.62,774.67,1745.07
213.5,1210.86,780.26,1767.07
214,1207.79,819.62,1763.33
214.5,1324.31,835.96,1786.7
215,1339.32,846.1,1821.2
215.5,1361.99,851.61,1899.8
216,1381.16,860.07,1967.08
216.5,1406.39,862.94,2019.79
217,1439.63,878.8,2083.94
217.5,1450.96,926,2115.52
218,1501.04,964.38,2199.67
218.5,1531.76,989.7,2244.38
219,1552.4,1011.02,2272.16
219.5,1589.3,1016.16,2375.01
220,1599.29,1032.56,2446.3
220.5,1614.51,1026.21,2498.11
221,1660.23,1038.65,2540.79
221.5,1702.54,1085.65,2617.76
222,1776.13,1113,2691.29
222.5,1818.97,1140.78,2771.85
223,1854.49,1137.36,2834.97
223.5,1911.95,1152.19,2863.23
224,1955.25,1186.25,2850.08
224.5,2047.59,1192.73,2869.41
225,2131.92,1226.87,2909.25
225.5,2111.68,1203.71,2955.17
226,2073.2,1198.27,2995.16
226.5,2062.8,1187.17,3028.95
227,2059.04,1185.58,3016.58
227.5,2051.57,1173.59,2992.94
228,2082.91,1165.92,2976.67
228.5,2023.94,1159.33,2919.56
229,1989.51,1127.32,2839.76
229.5,1975.23,1075.88,2823.87
230,1938.98,1042.73,2774.52
230.5,1892.22,1048.8,2721.56
231,1767.46,1026.96,2668.5
231.5,1662.83,984.42,2623.15
232,1613.52,950.1,2592.51
232.5,1624.32,889.7,2588.6
233,1518.27,836.56,2589.37
233.5,1495.34,770.8,2572.95
234,1478.47,702.03,2580.5
234.5,1447.15,663.76,2625.94
235,1398.8,590.93,2678.79
235.5,1352.41,540.8,2709.71
236,1300.84,464.01,2743.92
236.5,1248.87,388.83,2721.26
237,1210.03,339.54,2650.36
237.5,1205.65,297.95,2582.57
238,1204.76,277.29,2514.92
238.5,1167.29,238.13,2463.38
239,1110.06,204.06,2446.86
239.5,1033.59,175.94,2349.34
240,532.66,143.29,2229.6
240.5,528.96,130.29,2068.5
241,532.54,128.13,1903.28
241.5,519.87,127.69,1774.74
242,491.72,101.22,1644.34
242.5,424.2,69.49,1494.31
243,388.88,61.58,1441.68
243.5,400.12,76.16,1350.76
244,424.25,85.55,1277.57
244.5,417.99,91.79,1187.84
245,420.96,68.52,1152.25
245.5,414.97,38.51,1146.75
246,429.51,9.85,1136.35
246.5,451.45,1.08,1144.05
247,490.73,-17.84,1193
247.5,550.55,-4.25,1295.43
248,615.49,-21.24,1409.61
248.5,668.76,-34,1491.73
249,691.14,-32.59,1592.9
249.5,738.91,-22.34,1635.85
250,772.38,2.59,1668.2
250.5,769.71,20.61,1693.62
251,825.97,37.7,1730.1
251.5,856.75,30.89,1754.5
252,878.74,41.2,1790
252.5,871.56,64.37,1839.21
253,856.32,83.05,1824.79
253.5,865.39,74.21,1823.61
254,868.96,71.52,1763.62
254.5,856.25,44.35,1715.23
255,849.85,22.56,1680.77
255.5,844.34,8.43,1657.02
256,810.9,-19.43,1619.93
256.5,778.24,-41.66,1550.92
257,727.6,-48.48,1466.66
257.5,677.85,-40.65,1386.85
258,637.31,-54.76,1294.66
258.5,610.69,-57.83,1221.11
259,580.34,-75.04,1159.68
259.5,562.04,-85.73,1119.81
260,535.64,-98.87,1071.69
260.5,495.65,-76.99,1006.07
261,461.03,-61.09,1010.42
261.5,409.91,-76.13,1011.73
262,373.08,-84.49,1003.75
262.5,352.02,-89.77,1008.22
263,344.77,-83.05,1015.91
263.5,349.7,-70.32,1029.96
264,356.78,-68.52,1027.38
264.5,340.11,-57.99,1071.67
265,320.41,-40.48,1082.38
265.5,322.44,-33.13,1087
266,321.19,-21.76,1063.24
266.5,316.97,-2.76,1019.94
267,308.8,3.07,971.32
267.5,306.95,20.94,914.38
268,301.88,36.19,872.69
268.5,300.75,46.45,820.39
269,325.45,48.63,793.65
269.5,331.28,58.67,771.31
270,325.11,84.71,760.28
270.5,351.09,118.21,734.61
271,337.61,132.4,732.04
271.5,358.78,146.58,735.53
272,389.79,152.87,745.3
272.5,417.24,159.84,765.14
